Offense,Unnamed: 0,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NM,,291534.0,274048.0,251328.0,238074.0,233148.0,235172.0,240500.0,307876.0,693822.0,1103280.0
FL,,300549.0,281654.0,258370.0,245733.0,240781.0,242999.0,247312.0,310046.0,677118.0,1068882.0
NV,,308924.0,288820.0,267599.0,254237.0,245514.0,245165.0,247370.0,303438.0,638827.0,1001996.0
WA,,313498.0,297998.0,282436.0,270239.0,254934.0,247312.0,243356.0,274179.0,493305.0,728791.0
NY,,314622.0,298917.0,283105.0,270782.0,254472.0,246708.0,242080.0,269321.0,466882.0,682553.0
SC,,314612.0,298918.0,283067.0,270769.0,254424.0,246672.0,242008.0,269205.0,466399.0,681754.0
SD,,314580.0,298831.0,282903.0,270774.0,254250.0,246466.0,241702.0,267982.0,462976.0,675591.0
WI,,315682.0,300219.0,284540.0,272666.0,255596.0,247409.0,242036.0,266427.0,447543.0,649124.0
OH,,316084.0,300515.0,284894.0,272956.0,255874.0,247542.0,242190.0,266426.0,446803.0,647669.0
VT,,160539.0,150886.0,139109.0,131458.0,129062.0,130380.0,134306.0,174226.0,401710.0,638325.0
