,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date
0,HI0010000,Hawaii Police Department County Sheriff's Office,County,Hawaii,HI,Pacific,West,Region IV,HAWAII,False,19.716698,-155.08688,
1,HI0050000,Maui Police Department County Sheriff's Office,County,Hawaii,HI,Pacific,West,Region IV,MAUI,False,20.887321,-156.48763,
2,HI0020000,Honolulu Police Department,City,Hawaii,HI,Pacific,West,Region IV,HONOLULU,True,21.304317,-157.85077,01/01/2018
3,HI0040000,Kauai Police Department County Sheriff's Office,County,Hawaii,HI,Pacific,West,Region IV,KAUAI,False,22.012038,-159.705965,
4,DE0030500,Milford Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT; SUSSEX,True,38.91612,-75.42161,01/01/2001
5,DE0030300,Laurel Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
6,DE0011900,Dover Fire Marshal,Other,Delaware,DE,South Atlantic,South,Region III,KENT,True,,,01/01/2013
7,DE0030100,Bridgeville Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.744175,-75.599144,01/01/2001
8,DE0032400,Dewey Beach Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.709568,-75.078224,01/01/2001
9,DE0030900,Blades Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.633743,-75.6098,01/01/2001
10,DE0011700,Environmental Control,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.164383,-75.51842,01/01/2001
11,DE301SP00,State Police: Kent County,State Police,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,01/01/2001
12,DE0030700,Rehoboth Beach Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.715996,-75.08348,01/01/2001
13,DE0020700,Elsmere Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.739624,-75.60179,01/01/2001
14,DE0020900,Delaware City Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.57391,-75.59376,01/01/2001
15,DE0013200,Delaware State University,University or College,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,08/01/2004
16,DE0020100,River and Bay Authority,Other State Agency,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.575915,-75.644132,01/01/2001
17,DE0020300,New Castle County Police Department,County,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.707096,-75.56667,01/01/2001
18,DE0022600,Wilmington Fire Department,Other,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.73873,-75.548965,01/01/2001
19,DE0020500,Newark Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.575915,-75.644132,01/01/2001
20,DE0031800,South Bethany Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
21,DE0010800,Frederica Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,11/01/2002
22,DEDSP0000,State Police,State Police,Delaware,DE,South Atlantic,South,Region III,,True,39.156284,-75.486595,08/01/2010
23,DE0031000,Bethany Beach Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
24,DE002159E,Amtrak Police,Other,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,,,01/01/2001
25,DE0010200,Harrington Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,38.924095,-75.57957,01/01/2001
26,DE0031200,Fenwick Island Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
27,DE0031400,Greenwood Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
28,DE0012300,Park Rangers,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,01/01/2001
29,DE0010600,Clayton Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,01/01/2001
30,DE001500X,Animal Welfare:,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,,,09/01/2015
31,DE0031600,Selbyville Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
32,DE0010400,Camden Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.11345,-75.54225,01/01/2001
33,DE0021600,Alcohol and Tobacco Enforcement,Other State Agency,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.575915,-75.644132,01/01/2013
34,DE0030400,Lewes Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
35,DE0030200,Delmar Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
36,DE003350X,Attorney General: Sussex County,Other State Agency,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.690628,-75.385086,01/01/2001
37,DE003500X,Animal Welfare:,Other State Agency,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,,,12/01/2015
38,DE0013300,Viola Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,,,07/01/2013
39,DE0011800,State Capitol Police,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,01/01/2001
40,DE0030800,Seaford Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.65286,-75.61424,01/01/2001
41,DE0030600,Milton Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.77769,-75.31031,01/01/2001
42,DE0020800,Newport Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.575915,-75.644132,01/01/2001
43,DE0013100,Wyoming Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.118744,-75.55912,01/01/2001
44,DE0020200,Middletown Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.44838,-75.71802,10/01/2007
45,DE0020400,New Castle Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.575915,-75.644132,01/01/2001
46,DE0020600,Wilmington Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.73873,-75.548965,01/01/2001
47,DE002500X,Animal Welfare:,Other State Agency,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,,,09/01/2015
48,DE0031700,Ocean View Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
49,DE0031900,Frankford Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
50,DE0010900,Kenton Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,05/01/2012
51,DE303SP00,State Police: Sussex County,State Police,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
52,DE0012600,Cheswold Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,01/01/2001
53,DE0010300,Smyrna Police Department,City,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE; KENT,True,39.300205,-75.61435,01/01/2001
54,DE001300X,Attorney General: Kent County,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.154705,-75.52337,02/01/2001
55,DE0031100,Dagsboro Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
56,DE0010100,Dover Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,01/01/2001
57,DE0031300,Georgetown Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.694782,-75.3895,01/01/2001
58,DE0012200,Fish and Wildlife,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.097088,-75.502982,03/01/2013
59,DE0010700,Felton Police Department,City,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.01094,-75.57476,01/01/2001
60,DE0031500,Millsboro Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
61,DE0012000,State Fire Marshal,Other State Agency,Delaware,DE,South Atlantic,South,Region III,KENT,True,39.168213,-75.588066,01/01/2001
62,DE0029Z0X,Attorney General: New Castle County,Other State Agency,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.742977,-75.547295,01/01/2001
63,DE0033000,Ellendale Police Department,City,Delaware,DE,South Atlantic,South,Region III,SUSSEX,True,38.677511,-75.335495,01/01/2001
64,DE302SP00,State Police: New Castle County,State Police,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.575915,-75.644132,01/01/2001
65,DE0021700,University of Delaware,University or College,Delaware,DE,South Atlantic,South,Region III,NEW CASTLE,True,39.67637,-75.75021,01/01/2001
66,PRPPR0000,Puerto Rico ,Other,Puerto Rico,PR,U.S. Territories,U.S. Territories,U.S. Territories,,False,,,
67,TX2390000,Washington County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,WASHINGTON,True,30.17912,-96.388176,03/01/2018
68,TX0201700,Alvin Community College,University or College,Texas,TX,West South Central,South,Region III,BRAZORIA,False,29.167817,-95.434647,
69,TX0690000,Edwards County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,EDWARDS,False,29.985877,-100.307373,
70,TX1011700,Seabrook Police Department,City,Texas,TX,West South Central,South,Region III,HARRIS,True,29.564535,-95.02338,10/01/2019
71,TX1660000,Milam County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,MILAM,False,30.85512,-96.98046,01/01/2020
72,TX1890100,Marfa Police Department,City,Texas,TX,West South Central,South,Region III,PRESIDIO,False,30.005891,-104.261619,
73,TX1580000,Marion County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,MARION,True,32.798182,-94.356853,05/01/2019
74,TX2470000,Wilson County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,WILSON,True,29.173883,-98.086734,05/01/2019
75,TX0612500,Double Oak Police Department,City,Texas,TX,West South Central,South,Region III,DENTON,True,33.062622,-97.095955,01/01/2017
76,TX0840200,Dickinson Police Department,City,Texas,TX,West South Central,South,Region III,GALVESTON,True,29.462942,-95.05215,10/01/2019
77,TX1017000,Independent School District: Spring Branch,Other,Texas,TX,West South Central,South,Region III,HARRIS,False,29.798367,-95.51263,
78,TX0202800,Surfside Beach Police Department,City,Texas,TX,West South Central,South,Region III,BRAZORIA,True,28.944168,-95.297905,01/01/2018
79,TX0290100,Point Comfort Police Department,City,Texas,TX,West South Central,South,Region III,CALHOUN,False,28.445366,-96.5833,
80,TX0680200,Odessa Police Department,City,Texas,TX,West South Central,South,Region III,MIDLAND; ECTOR,False,31.845774,-102.36773,
81,TX0450100,Columbus Police Department,City,Texas,TX,West South Central,South,Region III,COLORADO,True,29.595991,-96.508433,12/01/2018
82,TX1012800,Nassau Bay Police Department,City,Texas,TX,West South Central,South,Region III,HARRIS,True,29.857273,-95.393037,10/01/2019
83,TX2460200,Georgetown Police Department,City,Texas,TX,West South Central,South,Region III,WILLIAMSON,True,30.636448,-97.680916,10/01/2003
84,TX1810200,Orange Police Department,City,Texas,TX,West South Central,South,Region III,ORANGE,True,30.120918,-93.893358,01/01/2018
85,TX0313300,Indian Lake Police Department,City,Texas,TX,West South Central,South,Region III,CAMERON,False,26.102923,-97.478958,
86,TX1820000,Palo Pinto County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,PALO PINTO,True,32.75221,-98.317974,11/01/2019
87,TX1981000,Franklin,City,Texas,TX,West South Central,South,Region III,ROBERTSON,False,,,02/01/2020
88,TX1090300,Itasca Police Department,City,Texas,TX,West South Central,South,Region III,HILL,True,32.159992,-97.15036,07/01/2019
89,TX0152200,Selma Police Department,City,Texas,TX,West South Central,South,Region III,COMAL; GUADALUPE; BEXAR,False,29.448671,-98.520147,
90,TX0110800,Independent School District:,Other,Texas,TX,West South Central,South,Region III,BASTROP,False,,,
91,TX2230100,Brownfield Police Department,City,Texas,TX,West South Central,South,Region III,TERRY,True,33.171229,-102.339284,02/01/2018
92,TX0431800,Murphy Police Department,City,Texas,TX,West South Central,South,Region III,COLLIN,True,33.016426,-96.612785,01/01/2007
93,TX1080500,Elsa Police Department,City,Texas,TX,West South Central,South,Region III,HIDALGO,False,26.396384,-98.18099,
94,TX0670400,Ranger Police Department,City,Texas,TX,West South Central,South,Region III,EASTLAND,False,32.471584,-98.683,
95,TX0611400,Aubrey Police Department,City,Texas,TX,West South Central,South,Region III,DENTON,False,33.304184,-96.98627,01/01/2020
96,TX1260100,Alvarado Police Department,City,Texas,TX,West South Central,South,Region III,JOHNSON,False,32.40696,-97.21228,
97,TX0850000,Garza County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,GARZA,False,33.198063,-101.382416,
98,TX0575000,Hospital District: Dallas County,Other,Texas,TX,West South Central,South,Region III,DALLAS,False,32.812763,-96.838455,
99,TX0570800,Desoto Police Department,City,Texas,TX,West South Central,South,Region III,DALLAS,True,32.766987,-96.778424,03/01/2019
100,TX2050500,Taft Police Department,City,Texas,TX,West South Central,South,Region III,SAN PATRICIO,True,27.981573,-97.39302,01/01/2018
101,TX1431000,Moulton Police Department,City,Texas,TX,West South Central,South,Region III,LAVACA,True,29.382578,-96.923633,06/01/2018
102,TX1550800,Mart Police Department,City,Texas,TX,West South Central,South,Region III,LIMESTONE; MCLENNAN,False,31.549493,-97.201472,
103,TX1330500,Ingram Police Department,City,Texas,TX,West South Central,South,Region III,KERR,True,30.07363,-99.23886,04/01/2018
104,TX1030000,Hartley County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,HARTLEY,False,35.840244,-102.610047,01/01/2020
105,TX1700800,Patton Village Police Department,City,Texas,TX,West South Central,South,Region III,MONTGOMERY,False,30.299402,-95.504008,
106,TX1070900,Caney City Police Department,City,Texas,TX,West South Central,South,Region III,HENDERSON,False,32.211633,-95.853418,
107,TX0270700,Granite Shoals Police Department,City,Texas,TX,West South Central,South,Region III,BURNET,False,30.590641,-98.38533,
108,TX0210200,College Station Police Department,City,Texas,TX,West South Central,South,Region III,BRAZOS,True,30.656725,-96.302389,01/01/2018
109,TX2120900,University of Texas: Tyler,University or College,Texas,TX,West South Central,South,Region III,SMITH,False,32.31339,-95.244896,
110,TX1500100,Llano Police Department,City,Texas,TX,West South Central,South,Region III,LLANO,True,30.750307,-98.67835,01/01/1998
111,TX1230700,Port Arthur Police Department,City,Texas,TX,West South Central,South,Region III,ORANGE; JEFFERSON,True,29.854,-94.149331,09/01/2019
112,TX1200000,Jackson County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,JACKSON,True,28.97839,-96.646736,07/01/2012
113,TX2200900,Euless Police Department,City,Texas,TX,West South Central,South,Region III,TARRANT,False,32.77204,-97.291291,
114,TX1100400,South Plains College,University or College,Texas,TX,West South Central,South,Region III,HOCKLEY,False,33.578476,-102.3678,
115,TX0430500,McKinney Police Department,City,Texas,TX,West South Central,South,Region III,COLLIN,True,33.194745,-96.579846,04/01/1997
116,TX0140000,Bell County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,BELL,False,31.042303,-97.481374,
