,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Offense
HI,,,,,,,,,1305.0,1336.0,aggravated-assault
HI,,,,,,,,,4265.0,4654.0,burglary
HI,,,,,,,,,23308.0,23638.0,larceny
HI,,,,,,,,,4254.0,4017.0,motor-vehicle-theft
HI,,,,,,,,,25.0,27.0,homicide
HI,,,,,,,,,396.0,351.0,rape
HI,,,,,,,,,1031.0,1255.0,robbery
HI,,,,,,,,,281.0,301.0,arson
HI,,,,,,,,,2757.0,2969.0,violent-crime
HI,,,,,,,,,32108.0,32610.0,property-crime
DE,3544.0,3382.0,3409.0,3067.0,2968.0,3225.0,3245.0,2977.0,2907.0,3024.0,aggravated-assault
DE,8050.0,8078.0,7734.0,6602.0,6144.0,5009.0,5222.0,3971.0,3304.0,3163.0,burglary
DE,24166.0,24281.0,24250.0,23457.0,23009.0,21390.0,21653.0,19603.0,19483.0,18850.0,larceny
DE,1964.0,1563.0,1438.0,1334.0,1267.0,1186.0,1471.0,1331.0,1416.0,1528.0,motor-vehicle-theft
DE,51.0,48.0,56.0,41.0,48.0,56.0,53.0,50.0,46.0,48.0,homicide
DE,388.0,387.0,408.0,437.0,406.0,379.0,308.0,362.0,346.0,325.0,rape
DE,2179.0,1784.0,1756.0,1428.0,1443.0,1398.0,1506.0,1206.0,950.0,855.0,robbery
DE,308.0,308.0,232.0,193.0,227.0,168.0,189.0,146.0,142.0,132.0,arson
DE,6162.0,5601.0,5629.0,4973.0,4865.0,5058.0,5112.0,4595.0,4249.0,4252.0,violent-crime
DE,34488.0,34230.0,33654.0,31586.0,30647.0,27753.0,28535.0,25051.0,24345.0,23673.0,property-crime
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
PR,,,,,,,,,,,
TX,8071.0,7792.0,7608.0,6818.0,6904.0,7271.0,7775.0,11501.0,29940.0,48021.0,aggravated-assault
TX,30207.0,29905.0,26358.0,23732.0,21079.0,20476.0,20308.0,24356.0,52680.0,79912.0,burglary
TX,92865.0,85946.0,79088.0,76206.0,75957.0,77085.0,77785.0,97878.0,206549.0,332075.0,larceny
TX,7531.0,6902.0,6413.0,6296.0,6675.0,6916.0,7715.0,10935.0,31795.0,51162.0,motor-vehicle-theft
TX,141.0,106.0,98.0,108.0,123.0,123.0,153.0,220.0,560.0,912.0,homicide
TX,1956.0,1845.0,1940.0,1787.0,1811.0,1916.0,2040.0,3022.0,5471.0,8077.0,rape
TX,4604.0,4119.0,3799.0,3708.0,3650.0,3484.0,4088.0,5545.0,18828.0,29675.0,robbery
TX,392.0,409.0,360.0,382.0,375.0,315.0,386.0,481.0,1088.0,1806.0,arson
TX,14772.0,13862.0,13445.0,12421.0,12488.0,12794.0,14056.0,20288.0,54799.0,86685.0,violent-crime
TX,130995.0,123162.0,112219.0,106616.0,104086.0,104792.0,106194.0,133650.0,292112.0,464955.0,property-crime
MA,17086.0,15398.0,14650.0,14477.0,14537.0,15098.0,14587.0,13671.0,13236.0,13623.0,aggravated-assault
MA,38582.0,37071.0,35587.0,32236.0,25812.0,22642.0,20366.0,17748.0,14389.0,13026.0,burglary
MA,97439.0,95124.0,93925.0,92208.0,85377.0,79232.0,73771.0,68619.0,61027.0,58870.0,larceny
MA,8655.0,7821.0,7082.0,6839.0,6213.0,6312.0,6439.0,6077.0,5372.0,4924.0,motor-vehicle-theft
MA,131.0,107.0,60.0,95.0,75.0,87.0,81.0,104.0,77.0,113.0,homicide
MA,1924.0,1758.0,1776.0,1792.0,1637.0,1710.0,1734.0,1799.0,2048.0,1914.0,rape
MA,5706.0,5507.0,5436.0,5600.0,4996.0,4427.0,4422.0,3990.0,3395.0,3208.0,robbery
MA,794.0,705.0,714.0,672.0,653.0,448.0,540.0,480.0,348.0,351.0,arson
MA,24847.0,22770.0,21922.0,21964.0,21245.0,21322.0,20824.0,19564.0,18756.0,18858.0,violent-crime
MA,145470.0,140721.0,137308.0,131955.0,118055.0,108634.0,101116.0,92924.0,81136.0,77171.0,property-crime
MD,,,,,,,8.0,556.0,638.0,1317.0,aggravated-assault
MD,,,,,,,78.0,1791.0,1750.0,2751.0,burglary
MD,,,,,,,301.0,13317.0,12638.0,19743.0,larceny
MD,,,,,,,23.0,809.0,765.0,2304.0,motor-vehicle-theft
MD,,,,,,,,20.0,20.0,47.0,homicide
MD,,,,,,,35.0,281.0,365.0,497.0,rape
MD,,,,,,,11.0,767.0,635.0,1451.0,robbery
MD,,,,,,,,14.0,13.0,12.0,arson
MD,,,,,,,54.0,1624.0,1658.0,3312.0,violent-crime
MD,,,,,,,402.0,15931.0,15166.0,24810.0,property-crime
ME,169.0,222.0,166.0,204.0,206.0,220.0,296.0,305.0,303.0,438.0,aggravated-assault
ME,1469.0,2054.0,2129.0,2150.0,1599.0,1385.0,1276.0,1145.0,993.0,1306.0,burglary
ME,6452.0,7126.0,7543.0,7470.0,6480.0,5973.0,6193.0,6013.0,6143.0,6738.0,larceny
ME,186.0,215.0,244.0,304.0,260.0,231.0,260.0,260.0,247.0,354.0,motor-vehicle-theft
ME,2.0,5.0,6.0,1.0,7.0,5.0,3.0,4.0,4.0,11.0,homicide
ME,102.0,112.0,146.0,173.0,148.0,134.0,149.0,181.0,187.0,325.0,rape
ME,144.0,171.0,184.0,136.0,159.0,101.0,122.0,145.0,102.0,123.0,robbery
ME,54.0,63.0,59.0,81.0,31.0,44.0,40.0,30.0,43.0,100.0,arson
ME,417.0,510.0,502.0,514.0,520.0,460.0,570.0,635.0,596.0,897.0,violent-crime
ME,8161.0,9458.0,9975.0,10005.0,8370.0,7633.0,7769.0,7448.0,7426.0,8498.0,property-crime
IA,6073.0,5961.0,5940.0,6032.0,6027.0,6190.0,6558.0,6316.0,5196.0,6154.0,aggravated-assault
IA,17678.0,18589.0,18024.0,16677.0,15433.0,16355.0,16534.0,16158.0,11343.0,12513.0,burglary
IA,49783.0,52300.0,50265.0,49137.0,48284.0,47878.0,48293.0,48273.0,36085.0,39652.0,larceny
IA,3885.0,4076.0,4116.0,4326.0,4270.0,4532.0,5194.0,5719.0,4310.0,5271.0,motor-vehicle-theft
IA,39.0,45.0,49.0,42.0,59.0,74.0,74.0,98.0,45.0,58.0,homicide
IA,1088.0,1115.0,1133.0,1085.0,1147.0,1217.0,1291.0,1329.0,1058.0,1161.0,rape
IA,1294.0,1035.0,1210.0,1181.0,1360.0,1404.0,1552.0,1644.0,913.0,1135.0,robbery
IA,545.0,572.0,619.0,527.0,477.0,529.0,440.0,493.0,387.0,384.0,arson
IA,8494.0,8156.0,8332.0,8340.0,8593.0,8885.0,9475.0,9387.0,7212.0,8508.0,violent-crime
IA,71891.0,75537.0,73024.0,70667.0,68464.0,69294.0,70461.0,70643.0,52125.0,57820.0,property-crime
ID,2513.0,2436.0,2508.0,2468.0,2469.0,2618.0,2900.0,3030.0,2961.0,2947.0,aggravated-assault
ID,7474.0,7765.0,8203.0,7779.0,7324.0,6812.0,7337.0,6684.0,5800.0,4589.0,burglary
ID,25651.0,26702.0,25154.0,23978.0,24071.0,22703.0,22925.0,22599.0,20885.0,18187.0,larceny
ID,1386.0,1383.0,1452.0,1632.0,1732.0,2029.0,2238.0,2264.0,2057.0,1635.0,motor-vehicle-theft
ID,22.0,31.0,28.0,28.0,29.0,30.0,46.0,36.0,31.0,35.0,homicide
ID,685.0,598.0,650.0,664.0,638.0,731.0,772.0,795.0,964.0,839.0,rape
ID,296.0,248.0,324.0,290.0,281.0,234.0,293.0,255.0,238.0,181.0,robbery
